Elow [GeV], Ehigh [GeV], numu [POT^-1 m^-2], numubar [POT^-1 m^-2], nue [POT^-1 m^-2], nuebar [POT^-1 m^-2], nutau [POT^-1 m^-2], nutaubar [POT^-1 m^-2]
1.0,1.1615863496415424,8.843547348371819e-05,7.775157365676789e-05,2.6513953914494925e-06,1.947335739774891e-06,3.787090645643075e-08,2.4818762664943157e-08
1.1615863496415424,1.3492828476735632,0.00010272543882277344,9.031516662285034e-05,3.0798246942102185e-06,2.2619986134916235e-06,4.399032798834163e-08,2.8829135926591066e-08
1.3492828476735632,1.5673085376630795,0.00011932446749747115,0.00010490886471470455,3.5774823240835326e-06,2.627506712339969e-06,5.1098564507512006e-08,3.348753076428881e-08
1.5673085376630795,1.8205642030260802,0.00013860567262330832,0.00012186070520899201,4.15555463373933e-06,3.052075930645633e-06,5.935539501820371e-08,3.889865861899907e-08
1.8205642030260802,2.114742526881128,0.00012377291511581136,0.00010773466878867267,3.8333327791196025e-06,2.845782811638067e-06,7.0701778558732e-08,6.035045970854701e-08
2.114742526881128,2.4564560522315806,7.614534446812729e-05,6.371431608663069e-05,2.6476827444053075e-06,2.0350385246292667e-06,8.531484150731082e-08,9.765191940749904e-08
2.4564560522315806,2.8533858187665557,8.84493927229299e-05,7.400967984297684e-05,3.0755121340826655e-06,2.363872971204023e-06,9.910055531672405e-08,1.1343113660004704e-07
2.8533858187665557,3.314454017339987,7.344982389075412e-05,6.0611759528794154e-05,2.7498811890430496e-06,2.21538705777203e-06,1.2916080965040293e-07,1.5523576864095992e-07
3.314454017339987,3.8500245430567,6.945418702831173e-05,5.667277258407985e-05,2.748717313532493e-06,2.286074163426551e-06,1.5763911968553562e-07,1.930339499932831e-07
3.8500245430567,4.47213595499958,6.113144755476118e-05,4.9200811464389894e-05,2.614774047159649e-06,2.3586998408587764e-06,1.940902004065776e-07,2.4704981901458597e-07
4.47213595499958,5.194772079068654,5.928227949140725e-05,4.7257112341411474e-05,2.7203374230972436e-06,2.5129860016130967e-06,2.3260234606657474e-07,3.003972608117632e-07
5.194772079068654,6.034176336545162,5.414850733509061e-05,4.265664099361014e-05,2.8226469286601354e-06,2.5440133483304994e-06,2.807170036317777e-07,3.6442433486477255e-07
6.034176336545162,7.009216863860871,4.915782735846317e-05,3.83599242796401e-05,2.9756203703018143e-06,2.8005089425186897e-06,3.4755344511915023e-07,4.1571732311041905e-07
