Elow [GeV], Ehigh [GeV], numu [POT^-1], numubar [POT^-1], nue [POT^-1], nuebar [POT^-1], nutau [POT^-1], nutaubar [POT^-1]
1.0,1.1615863496415424,0.000932375914688923,0.0005714399730879104,4.917720762013092e-05,3.6466589909467865e-05,1.3312754884958066e-06,1.3300415223147422e-06
1.1615863496415424,1.3492828476735632,0.0010830351352371982,0.0006637768723784458,5.712357308503201e-05,4.23590930568138e-05,1.5463914350491024e-06,1.5449580767772586e-06
1.3492828476735632,1.5673085376630795,0.001258038829273713,0.0007710341541625599,6.635396273832428e-05,4.920374427799081e-05,1.7962671821556356e-06,1.7946022127529163e-06
1.5673085376630795,1.8205642030260802,0.0014613207314033711,0.0008956227485826417,7.707585736146099e-05,5.7154397704567245e-05,2.086519439101063e-06,2.0845854333702935e-06
1.8205642030260802,2.114742526881128,0.001206898268066051,0.0007450957304264744,6.566698733022591e-05,4.968977291692413e-05,2.110873685618854e-06,2.2097879374949126e-06
2.114742526881128,2.4564560522315806,0.0005108273519504254,0.0003291751172712371,3.293015696840485e-05,2.7383366324361594e-05,1.883762000045898e-06,2.1824183054690173e-06
2.4564560522315806,2.8533858187665557,0.0005933700790491509,0.00038236532286392344,3.825122082605244e-05,3.180814452961236e-05,2.1881522252267684e-06,2.5350673128406392e-06
2.8533858187665557,3.314454017339987,0.00041159002633413115,0.00027119211715219557,3.063465713062814e-05,2.6828120460410518e-05,2.117642923761496e-06,2.4587953462031968e-06
3.314454017339987,3.8500245430567,0.000327719280417571,0.00022134068353056962,2.8112249899254523e-05,2.5682407447067492e-05,2.2301451708805443e-06,2.5929424183828772e-06
3.8500245430567,4.47213595499958,0.00023938249749167628,0.0001657667857741509,2.4319740077632026e-05,2.3709430547335363e-05,2.1861041668340066e-06,2.500422617455635e-06
4.47213595499958,5.194772079068654,0.00020093713172958624,0.00014218273011134476,2.332137522664141e-05,2.3794151384448704e-05,2.2838978099030378e-06,2.551498018593124e-06
5.194772079068654,6.034176336545162,0.000152488685827484,0.00011117705302073262,2.1062907187778812e-05,2.2780738650678964e-05,2.303185482721336e-06,2.4252374766700764e-06
6.034176336545162,7.009216863860871,0.00011550727329354332,8.755267327419756e-05,1.910198658920805e-05,2.159661437606825e-05,2.2525277693219427e-06,2.2232707768297885e-06
7.009216863860871,8.141810630738087,8.998952205870242e-05,7.04720563973653e-05,1.7358707208768332e-05,2.0480675254041878e-05,2.1636210561693944e-06,2.0688957725768876e-06
